date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
1/1/2010,JPN,JPY,Japan,320,91.54,3.495739567,-0.024,-0.278,-0.048,0,0.909,,,,,,,
1/1/2010,KOR,KRW,South Korea,3400,1140.5,2.981148619,-0.167,-0.385,-0.188,-0.147,0.628,,,,,,,
1/1/2010,LKA,LKR,Sri Lanka,210,114.86,1.828312729,-0.489,-0.623,-0.502,-0.477,-0.001,,,,,,,
1/1/2010,MEX,MXN,Mexico,32,12.81375,2.497317335,-0.302,-0.484,-0.32,-0.286,0.364,,,,,,,
1/1/2010,MYS,MYR,Malaysia,7.05,3.3875,2.081180812,-0.419,-0.57,-0.433,-0.405,0.137,,,,,,,
1/1/2010,NOR,NOK,Norway,40,5.69555,7.023026749,0.962,0.45,0.913,1.009,2.836,,,,,,,
1/1/2010,NZL,NZD,New Zealand,4.9,1.35685,3.611305598,0.009,-0.254,-0.016,0.033,0.972,,,,,,,
1/1/2010,PAK,PKR,Pakistan,200,82.6,2.421307506,-0.324,-0.5,-0.34,-0.307,0.322,,,,,,,
1/1/2010,PER,PEN,Peru,8.056,2.8705,2.806479707,-0.216,-0.421,-0.236,-0.197,0.533,,,,,,,
1/1/2010,PHL,PHP,Philippines,101.52,45.92,2.210801394,-0.382,-0.544,-0.398,-0.368,0.207,,,,,,,
1/1/2010,POL,PLN,Poland,8.1,2.83565,2.85648793,-0.202,-0.41,-0.222,-0.183,0.56,,,,,,,
1/1/2010,RUS,RUB,Russia,70,29.927,2.339024961,-0.347,-0.517,-0.363,-0.331,0.278,,,,,,,
1/1/2010,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,-0.255,-0.45,-0.274,-0.237,0.456,,,,,,,
1/1/2010,SGP,SGD,Singapore,4.45,1.39555,3.188706961,-0.109,-0.342,-0.131,-0.088,0.742,,,,,,,
1/1/2010,SWE,SEK,Sweden,39,7.0821,5.506841191,0.538,0.137,0.5,0.575,2.008,,,,,,,
1/1/2010,THA,THB,Thailand,70,33.135,2.11256979,-0.41,-0.564,-0.425,-0.396,0.154,,,,,,,
1/1/2010,TUR,TRY,Turkey,5.65,1.47455,3.831677461,0.07,-0.209,0.044,0.096,1.093,,,,,,,
1/1/2010,TWN,TWD,Taiwan,75,31.8425,2.355342702,-0.342,-0.514,-0.358,-0.326,0.286,,,,,,,
1/1/2010,UKR,UAH,Ukraine,14,7.66,1.82767624,-0.489,-0.623,-0.502,-0.477,-0.002,,,,,,,
1/1/2010,URY,UYU,Uruguay,77,23.17,3.32326284,-0.072,-0.314,-0.095,-0.049,0.815,,,,,,,
1/1/2010,USA,USD,United States,3.58,1,3.58,0,-0.261,-0.025,0.024,0.955,,,,,,,
1/1/2010,ZAF,ZAR,South Africa,17.95,7.3045,2.457389281,-0.314,-0.493,-0.331,-0.297,0.342,,,,,,,
7/1/2010,ARE,AED,UAE,11,3.67285,2.994949426,-0.198,-0.309,-0.14,-0.184,0.538,,,,,,,
7/1/2010,ARG,ARS,Argentina,14,3.93375,3.558945027,-0.047,-0.179,0.022,-0.03,0.827,,,,,,,
7/1/2010,AUS,AUD,Australia,4.35,1.133722578,3.8369175,0.028,-0.114,0.101,0.045,0.97,,,,,,,
7/1/2010,BRA,BRL,Brazil,8.71,1.77495,4.907180484,0.314,0.133,0.409,0.337,1.519,,,,,,,
7/1/2010,CAN,CAD,Canada,4.17,1.04235,4.000575622,0.072,-0.077,0.148,0.09,1.054,,,,,,,
7/1/2010,CHE,CHF,Switzerland,6.5,1.05085,6.185468906,0.657,0.428,0.776,0.685,2.176,,,,,,,
7/1/2010,CHL,CLP,Chile,1750,523.65,3.34192686,-0.105,-0.229,-0.041,-0.09,0.716,,,,,,,
7/1/2010,CHN,CNY,China,13.2,6.7769,1.947793239,-0.478,-0.55,-0.441,-0.469,0,,,,,,,
7/1/2010,COL,COP,Colombia,8200,1868.45,4.388664401,0.176,0.013,0.26,0.196,1.253,,,,,,,
7/1/2010,CRI,CRC,Costa Rica,2000,522.115,3.830573724,0.026,-0.116,0.1,0.044,0.967,,,,,,,
7/1/2010,CZE,CZK,Czech Republic,67.64,19.7476,3.425226357,-0.083,-0.209,-0.017,-0.067,0.759,,,,,,,
7/1/2010,DNK,DKK,Denmark,28.5,5.81365,4.902255898,0.313,0.132,0.407,0.336,1.517,,,,,,,
7/1/2010,EGY,EGP,Egypt,13,5.699,2.281101948,-0.389,-0.473,-0.345,-0.379,0.171,,,,,,,
7/1/2010,EUZ,EUR,Euro area,3.380031071,0.78015291,4.332523827,0.16,0,0.244,0.18,1.224,,,,,,,
7/1/2010,GBR,GBP,Britain,2.29,0.657375756,3.483548,-0.067,-0.196,0,-0.051,0.788,,,,,,,
7/1/2010,HKG,HKD,Hong Kong,14.8,7.7742,1.90373286,-0.49,-0.561,-0.454,-0.481,-0.023,,,,,,,
7/1/2010,HUN,HUF,Hungary,740,221.96915,3.333796611,-0.107,-0.231,-0.043,-0.092,0.712,,,,,,,
7/1/2010,IDN,IDR,Indonesia,22780,9063,2.513516496,-0.327,-0.42,-0.278,-0.315,0.29,,,,,,,
7/1/2010,ISR,ILS,Israel,14.9,3.8619,3.858204511,0.033,-0.109,0.108,0.051,0.981,,,,,,,
7/1/2010,JPN,JPY,Japan,320,87.18,3.670566644,-0.017,-0.153,0.054,0,0.884,,,,,,,
7/1/2010,KOR,KRW,South Korea,3400,1204.45,2.822865208,-0.244,-0.348,-0.19,-0.231,0.449,,,,,,,
7/1/2010,LKA,LKR,Sri Lanka,210,112.775,1.86211483,-0.501,-0.57,-0.465,-0.493,-0.044,,,,,,,
7/1/2010,MEX,MXN,Mexico,32,12.782,2.503520576,-0.329,-0.422,-0.281,-0.318,0.285,,,,,,,
7/1/2010,MYS,MYR,Malaysia,7.05,3.2135,2.193869613,-0.412,-0.494,-0.37,-0.402,0.126,,,,,,,
7/1/2010,NOR,NOK,Norway,45,6.24625,7.204322594,0.93,0.663,1.068,0.963,2.699,,,,,,,
7/1/2010,NZL,NZD,New Zealand,5,1.39275766,3.59,-0.038,-0.171,0.031,-0.022,0.843,,,,,,,
7/1/2010,PAK,PKR,Pakistan,210,85.525,2.455422391,-0.342,-0.433,-0.295,-0.331,0.261,,,,,,,
7/1/2010,PER,PEN,Peru,10,2.8275,3.536693192,-0.053,-0.184,0.015,-0.036,0.816,,,,,,,
7/1/2010,PHL,PHP,Philippines,102,46.47,2.194964493,-0.412,-0.493,-0.37,-0.402,0.127,,,,,,,
7/1/2010,POL,PLN,Poland,8.3,3.1969,2.596265132,-0.305,-0.401,-0.255,-0.293,0.333,,,,,,,
7/1/2010,RUS,RUB,Russia,71,30.44325,2.332208289,-0.375,-0.462,-0.331,-0.365,0.197,,,,,,,
7/1/2010,SAU,SAR,Saudi Arabia,10,3.75045,2.666346705,-0.286,-0.385,-0.235,-0.274,0.369,,,,,,,
7/1/2010,SGP,SGD,Singapore,4.23,1.3742,3.078154563,-0.175,-0.29,-0.116,-0.161,0.58,,,,,,,
